연번,노선명,역명,엘리베이터,에스컬레이터,휠체어리프트
449,경전선,보성역사,0,0,0
450,경전선,예당역사,0,0,0
451,경전선,원창역사,0,0,0
452,경전선,조성역사,0,0,0
453,경전선,진상역사,2,0,0
454,광양제철선,태금역사,0,0,0
455,광양항선,광양항역사,0,0,0
456,광주선,극락강역사,0,0,0
457,광주선,광주역사,5,7,0
458,대불선,대불역사,0,0,0
459,신광양항선,신광양항역사,0,0,0
460,여천선,적량역사,0,0,0
461,여천선,흥국사역사,0,0,0
462,장성화물선,장성화물역사,0,0,0
463,전라선,덕양역사,3,0,0
464,전라선,개운역사,0,0,0
465,전라선,곡성역사,0,0,0
466,전라선,괴목역사,0,0,0
467,전라선,구례구역사,3,0,0
468,전라선,동운역사,0,0,0
469,전라선,성산역사,0,0,0
470,전라선,순천역사,5,8,0
471,전라선,압록역사,0,0,0
472,전라선,여수엑스포역사,0,0,0
473,전라선,여천역사,2,4,0
474,전라선,율촌역사,0,0,0
475,호남고속,광주송정역사,10,20,0
476,호남선,임곡역사,0,0,0
477,호남선,하남역사,0,0,0
478,호남선,백양사역사,0,0,0
479,호남선,안평역사,0,0,0
480,호남선,장성역사,3,0,0
481,호남선,고막원역사,0,0,3
482,호남선,나주역사,4,8,0
483,호남선,노안역사,0,0,2
484,호남선,다시역사,0,0,2
485,호남선,목포역사,4,4,0
486,호남선,몽탄역사,0,0,3
487,호남선,무안역사,0,0,3
488,호남선,일로역사,0,0,3
489,호남선,임성리역사,0,0,3
490,호남선,함평역사,2,0,0
491,경부고속,김천구미역사,2,10,1
492,경부고속,동대구역사,10,24,0
493,경부고속,신경주역사,7,10,0
494,경부선,약목역사,0,0,0
495,경부선,신동역사,0,0,0
496,경부선,가천역사,0,0,0
497,경부선,경산역사,4,7,0
498,경부선,고모역사,0,0,0
499,경부선,구미역사,4,8,0
500,경부선,김천역사,3,4,0
501,경부선,남성현역사,0,0,0
502,경부선,대구역사,5,6,0
503,경부선,대신역사,0,0,0
504,경부선,삼성역사,0,0,0
505,경부선,서대구역사,6,14,0
506,경부선,신암역사,0,0,0
507,경부선,아포역사,0,0,0
508,경부선,연화역사,0,0,0
509,경부선,왜관역사,3,4,0
510,경부선,지천역사,0,0,0
511,경부선,직지사역사,0,0,0
512,경부선,청도역사,3,0,0
513,경북선,개포역사,0,0,0
514,경북선,백원역사,0,0,0
515,경북선,상주역사,0,0,0
516,경북선,어등역사,0,0,0
517,경북선,예천역사,0,0,0
518,경북선,옥산역사,0,0,0
519,경북선,용궁역사,0,0,0
520,경북선,점촌역사,0,0,0
521,경북선,청리역사,0,0,0
522,경북선,함창역사,0,0,0
523,괴동선,괴동역사,0,0,0
524,대구선,청천역사,2,0,0
525,대구선,금강역사,0,0,0
526,대구선,금호역사,0,0,0
527,대구선,하양역사,2,4,0
528,동해선,강구역사,2,2,0
529,동해선,안강역사,2,4,0
530,동해선,영덕역사,3,8,0
531,동해선,월포역사,1,2,0
532,동해선,장사역사,1,0,0
533,동해선,포항역사,4,8,0
534,동해선,효자역사,0,0,0
535,문경선,주평역사,0,0,0
536,신동화물선,신동화물역사,0,0,0
537,영동선,석포역사,0,0,0
538,영동선,거촌역사,0,0,0
539,영동선,법전역사,0,0,0
540,영동선,봉성역사,0,0,0
541,영동선,봉화역사,0,0,0
542,영동선,분천역사,0,0,0
543,영동선,승부역사,0,0,0
544,영동선,임기역사,0,0,0
545,영동선,춘양역사,0,0,0
546,영동선,현동역사,0,0,0
547,영일만항,영일만항역사,0,0,0
548,중앙선,봉림역사,0,0,0
549,중앙선,북영천역사,0,0,0
550,중앙선,서경주역사,2,4,0
551,중앙선,신녕역사,0,0,0
552,중앙선,아화역사,0,4,0
553,중앙선,안동역사,2,4,1
554,중앙선,안동역사(구),2,1,0
555,중앙선,영주역사,4,5,0
556,중앙선,영천역사,3,6,0
557,중앙선,우보역사,0,0,0
558,중앙선,의성역사,0,0,0
559,중앙선,탑리역사,0,0,0
560,중앙선,풍기역사,2,4,0
561,중앙선,화본역사,0,0,0
562,중앙선,화산역사,0,0,0
563,가야선,가야역사,0,0,0
564,경부고속,부산역사,13,24,0
565,경부고속,울산역사,3,10,0
566,경부선,부산진역사,0,0,0
567,경부선,구포역사,3,6,0
568,경부선,물금역사,3,0,0
569,경부선,사상역사,0,0,0
570,경부선,원동역사,3,0,0
571,경부선,화명역사,3,0,0
572,경부선,밀양역사,3,4,0
573,경부선,삼랑진역사,4,0,0
574,경부선,상동역사,3,0,0
575,경전선,군북역사,2,4,0
576,경전선,마산역사,4,8,0
577,경전선,반성역사,2,0,0
578,경전선,북천역사,2,4,0
579,경전선,완사역사,2,0,0
580,경전선,중리역사,2,0,0
581,경전선,진례역사,2,4,0
582,경전선,진주역사,3,6,0
583,경전선,창원역사,7,14,0
584,경전선,창원중앙역사,4,8,0
585,경전선,하동역사,2,4,0
586,경전선,함안역사,2,4,0
587,경전선,횡천역사,2,0,0
588,경전선,진영역사,2,4,0
589,경전선,한림정역사,2,0,0
590,덕산선,덕산역사,0,0,0
591,동해선,거제역사,4,12,0
592,동해선,거제해맞이역사,2,4,0
593,동해선,교대역사,6,11,0
594,동해선,기장역사,4,8,0
595,동해선,동래역사,2,4,0
596,동해선,벡스코역사,5,16,2
597,동해선,부산원동역사,6,12,0
598,동해선,센텀역사,2,4,0
599,동해선,송정역사,2,4,0
600,동해선,신해운대역사,5,10,0
601,동해선,안락역사,2,4,0
602,동해선,오시리아역사,2,4,0
603,동해선,월내역사,2,4,0
604,동해선,일광역사,4,8,0
605,동해선,재송역사,2,4,0
606,동해선,좌천역사,2,4,0
607,동해선,개운포역사,2,4,0
608,동해선,남창역사,3,6,0
609,동해선,덕하역사,3,6,0
610,동해선,망양역사,3,6,0
611,동해선,서생역사,2,4,0
612,동해선,범일역사,0,0,0
613,동해선,부전역사,7,8,0
614,동해선,북울산역사,2,4,0
615,동해선,태화강역사,6,12,0
616,부산신항선,부산신항역사,0,0,0
617,부산신항선,장유역사,0,0,0
618,신항남선,남철송장역사,0,0,0
619,신항북선,북철송장역사,0,0,0
620,양산화물선,양산화물역사,0,0,0
621,온산선,온산역사,0,0,0
622,우암선,신선대역사,0,0,0
623,우암선,우암역사,0,0,0
624,울산신항선,용암역사,0,0,0
625,울산신항선,울산신항역사,0,0,0
626,울산항선,울산항역사,0,0,0
627,진해선,신창원역사,0,0,0
628,진해선,남창원역사,0,0,0
629,진해선,성주사역사,0,0,0
630,진해선,진해역사,0,0,0
